File	Well	Sample	Cq
20211112_981523_PostDnase_AW.rdml	B12	TG1080235	26.5674617422224
20211112_981523_PostDnase_AW.rdml	C01	TG1080236	NaN
20211112_981523_PostDnase_AW.rdml	C02	TG1080237	22.7007998400849
20211112_981523_PostDnase_AW.rdml	C03	TG1080238	21.1330852918609
20211112_981523_PostDnase_AW.rdml	B08	TG1080231	NaN
20211112_981523_PostDnase_AW.rdml	B09	TG1080232	NaN
20211112_981523_PostDnase_AW.rdml	B10	TG1080233	23.0533828701833
20211112_981523_PostDnase_AW.rdml	B11	TG1080234	NaN
20211112_981523_PostDnase_AW.rdml	C04	TG1080239	NaN
20211112_981523_PostDnase_AW.rdml	C05	TG1080240	20.6766130292235
20211112_981523_PostDnase_AW.rdml	A04	TG1080215	NaN
20211112_981523_PostDnase_AW.rdml	A08	TG1080219	28.6273901855158
20211112_981523_PostDnase_AW.rdml	E11	TG1080270	24.7439700145096
20211112_981523_PostDnase_AW.rdml	E10	TG1080269	17.5793220594237
20211112_981523_PostDnase_AW.rdml	E07	TG1080266	23.899546025354
20211112_981523_PostDnase_AW.rdml	E06	TG1080265	NaN
20211112_981523_PostDnase_AW.rdml	E09	TG1080268	NaN
20211112_981523_PostDnase_AW.rdml	E08	TG1080267	16.7444627417684
20211112_981523_PostDnase_AW.rdml	E03	TG1080262	NaN
20211112_981523_PostDnase_AW.rdml	E02	TG1080261	NaN
20211112_981523_PostDnase_AW.rdml	E05	TG1080264	NaN
20211112_981523_PostDnase_AW.rdml	E04	TG1080263	NaN
20211112_981523_PostDnase_AW.rdml	H04	TG1080299	NaN
20211112_981523_PostDnase_AW.rdml	H05	TG1080300	21.8267905780737
20211112_981523_PostDnase_AW.rdml	G10	TG1080293	25.2972004111251
20211112_981523_PostDnase_AW.rdml	G11	TG1080294	NaN
20211112_981523_PostDnase_AW.rdml	G08	TG1080291	17.6677640093156
20211112_981523_PostDnase_AW.rdml	G09	TG1080292	NaN
20211112_981523_PostDnase_AW.rdml	H02	TG1080297	28.2434812886383
20211112_981523_PostDnase_AW.rdml	H03	TG1080298	NaN
20211112_981523_PostDnase_AW.rdml	G12	TG1080295	26.1102690801053
20211112_981523_PostDnase_AW.rdml	H01	TG1080296	NaN
20211112_981523_PostDnase_AW.rdml	A03	TG1080214	20.0102476415149
20211112_981523_PostDnase_AW.rdml	A07	TG1080218	NaN
20211112_981523_PostDnase_AW.rdml	D03	TG1080250	18.1408317833534
20211112_981523_PostDnase_AW.rdml	D02	TG1080249	NaN
20211112_981523_PostDnase_AW.rdml	C09	TG1080244	NaN
20211112_981523_PostDnase_AW.rdml	C08	TG1080243	28.007425403752
20211112_981523_PostDnase_AW.rdml	C07	TG1080242	NaN
20211112_981523_PostDnase_AW.rdml	C06	TG1080241	18.1757062294602
20211112_981523_PostDnase_AW.rdml	D01	TG1080248	NaN
20211112_981523_PostDnase_AW.rdml	C12	TG1080247	NaN
20211112_981523_PostDnase_AW.rdml	C11	TG1080246	NaN
20211112_981523_PostDnase_AW.rdml	C10	TG1080245	27.2549097745955
20211112_981523_PostDnase_AW.rdml	E12	TG1080271	NaN
20211112_981523_PostDnase_AW.rdml	F01	TG1080272	NaN
20211112_981523_PostDnase_AW.rdml	F02	TG1080273	21.1920270406602
20211112_981523_PostDnase_AW.rdml	F03	TG1080274	NaN
20211112_981523_PostDnase_AW.rdml	F04	TG1080275	NaN
20211112_981523_PostDnase_AW.rdml	F05	TG1080276	30.4015084710509
20211112_981523_PostDnase_AW.rdml	F06	TG1080277	NaN
20211112_981523_PostDnase_AW.rdml	F07	TG1080278	NaN
20211112_981523_PostDnase_AW.rdml	F08	TG1080279	NaN
20211112_981523_PostDnase_AW.rdml	F09	TG1080280	NaN
20211112_981523_PostDnase_AW.rdml	A02	TG1080213	19.3090261035561
20211112_981523_PostDnase_AW.rdml	A06	TG1080217	NaN
20211112_981523_PostDnase_AW.rdml	H07	TG1080302	21.3353881512664
20211112_981523_PostDnase_AW.rdml	H06	TG1080301	13.4181746483915
20211112_981523_PostDnase_AW.rdml	H09	TG1080304	23.6283331980957
20211112_981523_PostDnase_AW.rdml	H08	TG1080303	23.5687626274159
20211112_981523_PostDnase_AW.rdml	H11	TG1080306	30.938060932964
20211112_981523_PostDnase_AW.rdml	H10	TG1080305	NaN
20211112_981523_PostDnase_AW.rdml	H12	NTC	NaN
20211112_981523_PostDnase_AW.rdml	A11	TG1080222	NaN
20211112_981523_PostDnase_AW.rdml	A10	TG1080221	27.6801536296515
20211112_981523_PostDnase_AW.rdml	B01	TG1080224	20.850648513728
20211112_981523_PostDnase_AW.rdml	A12	TG1080223	19.95977329631
20211112_981523_PostDnase_AW.rdml	B03	TG1080226	NaN
20211112_981523_PostDnase_AW.rdml	B02	TG1080225	NaN
20211112_981523_PostDnase_AW.rdml	B05	TG1080228	NaN
20211112_981523_PostDnase_AW.rdml	B04	TG1080227	NaN
20211112_981523_PostDnase_AW.rdml	B07	TG1080230	NaN
20211112_981523_PostDnase_AW.rdml	B06	TG1080229	28.1355890401556
20211112_981523_PostDnase_AW.rdml	D12	TG1080259	NaN
20211112_981523_PostDnase_AW.rdml	E01	TG1080260	NaN
20211112_981523_PostDnase_AW.rdml	D10	TG1080257	NaN
20211112_981523_PostDnase_AW.rdml	D11	TG1080258	NaN
20211112_981523_PostDnase_AW.rdml	D08	TG1080255	23.4330477400038
20211112_981523_PostDnase_AW.rdml	D09	TG1080256	NaN
20211112_981523_PostDnase_AW.rdml	D06	TG1080253	17.1028520837434
20211112_981523_PostDnase_AW.rdml	D07	TG1080254	19.8126490435356
20211112_981523_PostDnase_AW.rdml	D04	TG1080251	NaN
20211112_981523_PostDnase_AW.rdml	D05	TG1080252	31.4989339021767
20211112_981523_PostDnase_AW.rdml	A01	TG1080212	NaN
20211112_981523_PostDnase_AW.rdml	A05	TG1080216	NaN
20211112_981523_PostDnase_AW.rdml	A09	TG1080220	NaN
20211112_981523_PostDnase_AW.rdml	G05	TG1080288	NaN
20211112_981523_PostDnase_AW.rdml	G04	TG1080287	20.3165045839664
20211112_981523_PostDnase_AW.rdml	G03	TG1080286	18.7064940063584
20211112_981523_PostDnase_AW.rdml	G02	TG1080285	NaN
20211112_981523_PostDnase_AW.rdml	G01	TG1080284	18.0528151718243
20211112_981523_PostDnase_AW.rdml	F12	TG1080283	NaN
20211112_981523_PostDnase_AW.rdml	F11	TG1080282	NaN
20211112_981523_PostDnase_AW.rdml	F10	TG1080281	NaN
20211112_981523_PostDnase_AW.rdml	G07	TG1080290	20.2661266060774
20211112_981523_PostDnase_AW.rdml	G06	TG1080289	25.1720766848206
20211112_981522_PostDnase_DAL.rdml	B12	TG1080139	20.9976580119406
20211112_981522_PostDnase_DAL.rdml	C01	TG1080140	NaN
20211112_981522_PostDnase_DAL.rdml	C02	TG1080141	NaN
20211112_981522_PostDnase_DAL.rdml	C03	TG1080142	21.4971576256785
20211112_981522_PostDnase_DAL.rdml	B08	TG1080135	NaN
20211112_981522_PostDnase_DAL.rdml	B09	TG1080136	18.495719774698
20211112_981522_PostDnase_DAL.rdml	B10	TG1080137	NaN
20211112_981522_PostDnase_DAL.rdml	B11	TG1080138	NaN
20211112_981522_PostDnase_DAL.rdml	C04	TG1080143	NaN
20211112_981522_PostDnase_DAL.rdml	C05	TG1080144	NaN
20211112_981522_PostDnase_DAL.rdml	A04	TG1080119	NaN
20211112_981522_PostDnase_DAL.rdml	A08	TG1080123	NaN
20211112_981522_PostDnase_DAL.rdml	E11	TG1080174	27.2755455473694
20211112_981522_PostDnase_DAL.rdml	E10	TG1080173	NaN
20211112_981522_PostDnase_DAL.rdml	E07	TG1080170	19.2534464745015
20211112_981522_PostDnase_DAL.rdml	E06	TG1080169	NaN
20211112_981522_PostDnase_DAL.rdml	E09	TG1080172	28.3878673540214
20211112_981522_PostDnase_DAL.rdml	E08	TG1080171	NaN
20211112_981522_PostDnase_DAL.rdml	E03	TG1080166	27.5024012865089
20211112_981522_PostDnase_DAL.rdml	E02	TG1080165	26.630182004702
20211112_981522_PostDnase_DAL.rdml	E05	TG1080168	NaN
20211112_981522_PostDnase_DAL.rdml	E04	TG1080167	21.9628258922007
20211112_981522_PostDnase_DAL.rdml	H04	TG1080203	NaN
20211112_981522_PostDnase_DAL.rdml	H05	TG1080204	NaN
20211112_981522_PostDnase_DAL.rdml	G10	TG1080197	NaN
20211112_981522_PostDnase_DAL.rdml	G11	TG1080198	NaN
20211112_981522_PostDnase_DAL.rdml	G08	TG1080195	NaN
20211112_981522_PostDnase_DAL.rdml	G09	TG1080196	20.5822471333547
20211112_981522_PostDnase_DAL.rdml	H02	TG1080201	22.7188282922043
20211112_981522_PostDnase_DAL.rdml	H03	TG1080202	NaN
20211112_981522_PostDnase_DAL.rdml	G12	TG1080199	NaN
20211112_981522_PostDnase_DAL.rdml	H01	TG1080200	NaN
20211112_981522_PostDnase_DAL.rdml	A03	TG1080118	NaN
20211112_981522_PostDnase_DAL.rdml	A07	TG1080122	NaN
20211112_981522_PostDnase_DAL.rdml	D03	TG1080154	NaN
20211112_981522_PostDnase_DAL.rdml	D02	TG1080153	NaN
20211112_981522_PostDnase_DAL.rdml	C09	TG1080148	NaN
20211112_981522_PostDnase_DAL.rdml	C08	TG1080147	15.739315981284
20211112_981522_PostDnase_DAL.rdml	C07	TG1080146	30.3673648333703
20211112_981522_PostDnase_DAL.rdml	C06	TG1080145	NaN
20211112_981522_PostDnase_DAL.rdml	D01	TG1080152	17.6415418472829
20211112_981522_PostDnase_DAL.rdml	C12	TG1080151	26.8395391368424
20211112_981522_PostDnase_DAL.rdml	C11	TG1080150	NaN
20211112_981522_PostDnase_DAL.rdml	C10	TG1080149	NaN
20211112_981522_PostDnase_DAL.rdml	E12	TG1080175	NaN
20211112_981522_PostDnase_DAL.rdml	F01	TG1080176	20.0361083217807
20211112_981522_PostDnase_DAL.rdml	F02	TG1080177	NaN
20211112_981522_PostDnase_DAL.rdml	F03	TG1080178	16.0389711256692
20211112_981522_PostDnase_DAL.rdml	F04	TG1080179	22.6881990388577
20211112_981522_PostDnase_DAL.rdml	F05	TG1080180	20.1319085288771
20211112_981522_PostDnase_DAL.rdml	F06	TG1080181	16.7343132560638
20211112_981522_PostDnase_DAL.rdml	F07	TG1080182	NaN
20211112_981522_PostDnase_DAL.rdml	F08	TG1080183	26.8608983174872
20211112_981522_PostDnase_DAL.rdml	F09	TG1080184	NaN
20211112_981522_PostDnase_DAL.rdml	A02	TG1080117	27.1297475751091
20211112_981522_PostDnase_DAL.rdml	A06	TG1080121	NaN
20211112_981522_PostDnase_DAL.rdml	H07	TG1080206	NaN
20211112_981522_PostDnase_DAL.rdml	H06	TG1080205	NaN
20211112_981522_PostDnase_DAL.rdml	H09	TG1080208	NaN
20211112_981522_PostDnase_DAL.rdml	H08	TG1080207	NaN
20211112_981522_PostDnase_DAL.rdml	H11	TG1080210	27.299744104967
20211112_981522_PostDnase_DAL.rdml	H10	TG1080209	NaN
20211112_981522_PostDnase_DAL.rdml	H12	NTC	NaN
20211112_981522_PostDnase_DAL.rdml	A11	TG1080126	16.870379701143
20211112_981522_PostDnase_DAL.rdml	A10	TG1080125	NaN
20211112_981522_PostDnase_DAL.rdml	B01	TG1080128	22.7313305327699
20211112_981522_PostDnase_DAL.rdml	A12	TG1080127	NaN
20211112_981522_PostDnase_DAL.rdml	B03	TG1080130	20.4249486807288
20211112_981522_PostDnase_DAL.rdml	B02	TG1080129	15.0362187908672
20211112_981522_PostDnase_DAL.rdml	B05	TG1080132	30.497317684462
20211112_981522_PostDnase_DAL.rdml	B04	TG1080131	NaN
20211112_981522_PostDnase_DAL.rdml	B07	TG1080134	28.6186274129643
20211112_981522_PostDnase_DAL.rdml	B06	TG1080133	NaN
20211112_981522_PostDnase_DAL.rdml	D12	TG1080163	30.5253881459871
20211112_981522_PostDnase_DAL.rdml	E01	TG1080164	26.7676523421563
20211112_981522_PostDnase_DAL.rdml	D10	TG1080161	NaN
20211112_981522_PostDnase_DAL.rdml	D11	TG1080162	31.9019896221036
20211112_981522_PostDnase_DAL.rdml	D08	TG1080159	18.3256004403423
20211112_981522_PostDnase_DAL.rdml	D09	TG1080160	NaN
20211112_981522_PostDnase_DAL.rdml	D06	TG1080157	15.0039996853921
20211112_981522_PostDnase_DAL.rdml	D07	TG1080158	NaN
20211112_981522_PostDnase_DAL.rdml	D04	TG1080155	NaN
20211112_981522_PostDnase_DAL.rdml	D05	TG1080156	NaN
20211112_981522_PostDnase_DAL.rdml	A01	TG1080116	NaN
20211112_981522_PostDnase_DAL.rdml	A05	TG1080120	NaN
20211112_981522_PostDnase_DAL.rdml	A09	TG1080124	24.1659045477267
20211112_981522_PostDnase_DAL.rdml	G05	TG1080192	NaN
20211112_981522_PostDnase_DAL.rdml	G04	TG1080191	15.0304362237244
20211112_981522_PostDnase_DAL.rdml	G03	TG1080190	29.8164394505277
20211112_981522_PostDnase_DAL.rdml	G02	TG1080189	NaN
20211112_981522_PostDnase_DAL.rdml	G01	TG1080188	24.7578883555174
20211112_981522_PostDnase_DAL.rdml	F12	TG1080187	NaN
20211112_981522_PostDnase_DAL.rdml	F11	TG1080186	NaN
20211112_981522_PostDnase_DAL.rdml	F10	TG1080185	NaN
20211112_981522_PostDnase_DAL.rdml	G07	TG1080194	23.2603902961336
20211112_981522_PostDnase_DAL.rdml	G06	TG1080193	NaN
20211112_981524_PostDnase_AW.rdml	B12	TG1082484	NaN
20211112_981524_PostDnase_AW.rdml	C01	TG1082485	NaN
20211112_981524_PostDnase_AW.rdml	C02	TG1082486	31.4581167762814
20211112_981524_PostDnase_AW.rdml	C03	TG1082487	NaN
20211112_981524_PostDnase_AW.rdml	B08	TG1082480	24.0225848274707
20211112_981524_PostDnase_AW.rdml	B09	TG1082481	NaN
20211112_981524_PostDnase_AW.rdml	B10	TG1082482	NaN
20211112_981524_PostDnase_AW.rdml	B11	TG1082483	NaN
20211112_981524_PostDnase_AW.rdml	C04	TG1082488	20.1833282733694
20211112_981524_PostDnase_AW.rdml	C05	TG1082489	NaN
20211112_981524_PostDnase_AW.rdml	A04	TG1082464	30.5996333345614
20211112_981524_PostDnase_AW.rdml	A08	TG1082468	17.2537707504948
20211112_981524_PostDnase_AW.rdml	E11	TG1082519	NaN
20211112_981524_PostDnase_AW.rdml	E10	TG1082518	NaN
20211112_981524_PostDnase_AW.rdml	E07	TG1082515	NaN
20211112_981524_PostDnase_AW.rdml	E06	TG1082514	NaN
20211112_981524_PostDnase_AW.rdml	E09	TG1082517	NaN
20211112_981524_PostDnase_AW.rdml	E08	TG1082516	NaN
20211112_981524_PostDnase_AW.rdml	E03	TG1082511	21.6894825388249
20211112_981524_PostDnase_AW.rdml	E02	TG1082510	25.8280778230902
20211112_981524_PostDnase_AW.rdml	E05	TG1082513	NaN
20211112_981524_PostDnase_AW.rdml	E04	TG1082512	15.7889666851434
20211112_981524_PostDnase_AW.rdml	H04	TG1082548	31.398753518609
20211112_981524_PostDnase_AW.rdml	H05	TG1082549	32.0473280280895
20211112_981524_PostDnase_AW.rdml	G10	TG1082542	20.6844692238819
20211112_981524_PostDnase_AW.rdml	G11	TG1082543	18.2676333511488
20211112_981524_PostDnase_AW.rdml	G08	TG1082540	16.265655094174
20211112_981524_PostDnase_AW.rdml	G09	TG1082541	18.6227450152668
20211112_981524_PostDnase_AW.rdml	H02	TG1082546	31.4677239943924
20211112_981524_PostDnase_AW.rdml	H03	TG1082547	24.8330120014559
20211112_981524_PostDnase_AW.rdml	G12	TG1082544	18.6216804163949
20211112_981524_PostDnase_AW.rdml	H01	TG1082545	NaN
20211112_981524_PostDnase_AW.rdml	A03	TG1082463	NaN
20211112_981524_PostDnase_AW.rdml	A07	TG1082467	23.0648936003767
20211112_981524_PostDnase_AW.rdml	D03	TG1082499	NaN
20211112_981524_PostDnase_AW.rdml	D02	TG1082498	23.9878415037637
20211112_981524_PostDnase_AW.rdml	C09	TG1082493	NaN
20211112_981524_PostDnase_AW.rdml	C08	TG1082492	27.3346196817785
20211112_981524_PostDnase_AW.rdml	C07	TG1082491	33.0450128542813
20211112_981524_PostDnase_AW.rdml	C06	TG1082490	16.7547835010387
20211112_981524_PostDnase_AW.rdml	D01	TG1082497	21.5184180881782
20211112_981524_PostDnase_AW.rdml	C12	TG1082496	NaN
20211112_981524_PostDnase_AW.rdml	C11	TG1082495	21.8902191589926
20211112_981524_PostDnase_AW.rdml	C10	TG1082494	18.0514302385419
20211112_981524_PostDnase_AW.rdml	E12	TG1082520	24.214291722898
20211112_981524_PostDnase_AW.rdml	F01	TG1082521	19.1742497163237
20211112_981524_PostDnase_AW.rdml	F02	TG1082522	23.5644174964293
20211112_981524_PostDnase_AW.rdml	F03	TG1082523	22.7402580503006
20211112_981524_PostDnase_AW.rdml	F04	TG1082524	NaN
20211112_981524_PostDnase_AW.rdml	F05	TG1082525	NaN
20211112_981524_PostDnase_AW.rdml	F06	TG1082526	NaN
20211112_981524_PostDnase_AW.rdml	F07	TG1082527	27.3847598151612
20211112_981524_PostDnase_AW.rdml	F08	TG1082528	29.6133895299656
20211112_981524_PostDnase_AW.rdml	F09	TG1082529	20.7028921808237
20211112_981524_PostDnase_AW.rdml	A02	TG1082462	32.0650327621905
20211112_981524_PostDnase_AW.rdml	A06	TG1082466	16.0351756332061
20211112_981524_PostDnase_AW.rdml	H07	TG1082551	19.1755530498487
20211112_981524_PostDnase_AW.rdml	H06	TG1082550	NaN
20211112_981524_PostDnase_AW.rdml	H09	TG1082553	NaN
20211112_981524_PostDnase_AW.rdml	H08	TG1082552	NaN
20211112_981524_PostDnase_AW.rdml	H11	TG1082555	15.3692468106905
20211112_981524_PostDnase_AW.rdml	H10	TG1082554	NaN
20211112_981524_PostDnase_AW.rdml	H12	NTC	NaN
20211112_981524_PostDnase_AW.rdml	A11	TG1082471	30.8860507226484
20211112_981524_PostDnase_AW.rdml	A10	TG1082470	30.0341116649557
20211112_981524_PostDnase_AW.rdml	B01	TG1082473	NaN
20211112_981524_PostDnase_AW.rdml	A12	TG1082472	NaN
20211112_981524_PostDnase_AW.rdml	B03	TG1082475	22.6053114673605
20211112_981524_PostDnase_AW.rdml	B02	TG1082474	NaN
20211112_981524_PostDnase_AW.rdml	B05	TG1082477	30.9051314003986
20211112_981524_PostDnase_AW.rdml	B04	TG1082476	NaN
20211112_981524_PostDnase_AW.rdml	B07	TG1082479	23.3016517754612
20211112_981524_PostDnase_AW.rdml	B06	TG1082478	NaN
20211112_981524_PostDnase_AW.rdml	D12	TG1082508	28.3712604458036
20211112_981524_PostDnase_AW.rdml	E01	TG1082509	15.4596473315717
20211112_981524_PostDnase_AW.rdml	D10	TG1082506	29.8361388559967
20211112_981524_PostDnase_AW.rdml	D11	TG1082507	NaN
20211112_981524_PostDnase_AW.rdml	D08	TG1082504	22.2557070610104
20211112_981524_PostDnase_AW.rdml	D09	TG1082505	NaN
20211112_981524_PostDnase_AW.rdml	D06	TG1082502	31.6261308787377
20211112_981524_PostDnase_AW.rdml	D07	TG1082503	24.2199166954186
20211112_981524_PostDnase_AW.rdml	D04	TG1082500	NaN
20211112_981524_PostDnase_AW.rdml	D05	TG1082501	23.1426437344068
20211112_981524_PostDnase_AW.rdml	A01	TG1082461	NaN
20211112_981524_PostDnase_AW.rdml	A05	TG1082465	20.8320186894411
20211112_981524_PostDnase_AW.rdml	A09	TG1082469	18.453817727989
20211112_981524_PostDnase_AW.rdml	G05	TG1082537	24.0379358335923
20211112_981524_PostDnase_AW.rdml	G04	TG1082536	NaN
20211112_981524_PostDnase_AW.rdml	G03	TG1082535	NaN
20211112_981524_PostDnase_AW.rdml	G02	TG1082534	20.1522472915287
20211112_981524_PostDnase_AW.rdml	G01	TG1082533	21.7903566511808
20211112_981524_PostDnase_AW.rdml	F12	TG1082532	21.6528345001462
20211112_981524_PostDnase_AW.rdml	F11	TG1082531	NaN
20211112_981524_PostDnase_AW.rdml	F10	TG1082530	21.7524421172407
20211112_981524_PostDnase_AW.rdml	G07	TG1082539	19.9949748757562
20211112_981524_PostDnase_AW.rdml	G06	TG1082538	24.3444965117824
20211112_980559_PostDnase_AW.rdml	B12	TG1074542	NaN
20211112_980559_PostDnase_AW.rdml	C01	TG1074543	20.7916271944346
20211112_980559_PostDnase_AW.rdml	C02	TG1074544	26.4640705358385
20211112_980559_PostDnase_AW.rdml	C03	TG1074545	21.7689568976464
20211112_980559_PostDnase_AW.rdml	B08	TG1074538	26.0703260192337
20211112_980559_PostDnase_AW.rdml	B09	TG1074539	19.4923009031557
20211112_980559_PostDnase_AW.rdml	B10	TG1074540	NaN
20211112_980559_PostDnase_AW.rdml	B11	TG1074541	26.7035316521734
20211112_980559_PostDnase_AW.rdml	C04	TG1074546	NaN
20211112_980559_PostDnase_AW.rdml	C05	TG1074547	NaN
20211112_980559_PostDnase_AW.rdml	A04	TG1074522	NaN
20211112_980559_PostDnase_AW.rdml	A08	TG1074526	NaN
20211112_980559_PostDnase_AW.rdml	E11	TG1074577	NaN
20211112_980559_PostDnase_AW.rdml	E10	TG1074576	NaN
20211112_980559_PostDnase_AW.rdml	E07	TG1074573	22.5321365251055
20211112_980559_PostDnase_AW.rdml	E06	TG1074572	29.7233212904478
20211112_980559_PostDnase_AW.rdml	E09	TG1074575	19.4839041061776
20211112_980559_PostDnase_AW.rdml	E08	TG1074574	24.7492370368315
20211112_980559_PostDnase_AW.rdml	E03	TG1074569	26.956623432667
20211112_980559_PostDnase_AW.rdml	E02	TG1074568	30.2946052606104
20211112_980559_PostDnase_AW.rdml	E05	TG1074571	31.5157457280875
20211112_980559_PostDnase_AW.rdml	E04	TG1074570	20.49442224681
20211112_980559_PostDnase_AW.rdml	H04	TG1074606	26.2636287518217
20211112_980559_PostDnase_AW.rdml	H05	TG1074607	25.6360117232929
20211112_980559_PostDnase_AW.rdml	G10	TG1074600	NaN
20211112_980559_PostDnase_AW.rdml	G11	TG1074601	NaN
20211112_980559_PostDnase_AW.rdml	G08	TG1074598	23.6307379445358
20211112_980559_PostDnase_AW.rdml	G09	TG1074599	22.226303847957
20211112_980559_PostDnase_AW.rdml	H02	TG1074604	26.6901172488708
20211112_980559_PostDnase_AW.rdml	H03	TG1074605	23.4796809139974
20211112_980559_PostDnase_AW.rdml	G12	TG1074602	NaN
20211112_980559_PostDnase_AW.rdml	H01	TG1074603	24.8536924777533
20211112_980559_PostDnase_AW.rdml	A03	TG1074521	24.3488697115012
20211112_980559_PostDnase_AW.rdml	A07	TG1074525	NaN
20211112_980559_PostDnase_AW.rdml	D03	TG1074557	22.6721183051213
20211112_980559_PostDnase_AW.rdml	D02	TG1074556	NaN
20211112_980559_PostDnase_AW.rdml	C09	TG1074551	NaN
20211112_980559_PostDnase_AW.rdml	C08	TG1074550	18.8266343794047
20211112_980559_PostDnase_AW.rdml	C07	TG1074549	18.5932054139518
20211112_980559_PostDnase_AW.rdml	C06	TG1074548	19.0785108114718
20211112_980559_PostDnase_AW.rdml	D01	TG1074555	21.1277890337539
20211112_980559_PostDnase_AW.rdml	C12	TG1074554	22.6239592637976
