Rack,Destination
1,A1
1,A2
1,A3
1,A4
1,A5
1,A6
1,A7
1,A8
1,A9
1,A10
1,A11
1,A12
1,B1
1,B2
1,B3
1,B4
1,B5
1,B6
1,B7
1,B8
1,B9
1,B10
1,B11
1,B12
1,C1
1,C2
1,C3
1,C4
1,C5
1,C6
1,C7
1,C8
1,C9
1,C10
1,C11
1,C12
1,D1
1,D2
1,D3
1,D4
1,D5
1,D6
1,D7
1,D8
1,D9
1,D10
1,D11
1,D12
1,E1
1,E2
1,E3
1,E4
1,E5
1,E6
1,E7
1,E8
1,E9
1,E10
1,E11
1,E12
1,F1
1,F2
1,F3
1,F4
1,F5
1,F6
1,F7
1,F8
1,F9
1,F10
1,F11
1,F12
1,G1
1,G2
1,G3
1,G4
1,G5
1,G6
1,G7
1,G8
1,G9
1,G10
1,G11
1,G12
1,H1
1,H2
1,H3
1,H4
1,H5
1,H6
1,H7
1,H8
1,H9
1,H10
2,A1
2,A2
2,A3
2,A4
2,A5
2,A6
2,A7
2,A8
2,A9
2,A10
2,A11
2,A12
2,B1
2,B2
2,B3
2,B4
2,B5
2,B6
2,B7
2,B8
2,B9
2,B10
2,B11
2,B12
2,C1
2,C2
2,C3
2,C4
2,C5
2,C6
2,C7
2,C8
2,C9
2,C10
2,C11
2,C12
2,D1
2,D2
2,D3
2,D4
2,D5
2,D6
2,D7
2,D8
2,D9
2,D10
2,D11
2,D12
2,E1
2,E2
2,E3
2,E4
2,E5
2,E6
2,E7
2,E8
2,E9
2,E10
2,E11
2,E12
2,F1
2,F2
2,F3
2,F4
2,F5
2,F6
2,F7
2,F8
2,F9
2,F10
2,F11
2,F12
2,G1
2,G2
2,G3
2,G4
2,G5
2,G6
2,G7
2,G8
2,G9
2,G10
2,G11
2,G12
2,H1
2,H2
2,H3
2,H4
2,H5
2,H6
2,H7
2,H8
2,H9
2,H10
3,A1
3,A2
3,A3
3,A4
3,A5
3,A6
3,A7
3,A8
3,A9
3,A10
3,A11
3,A12
3,B1
3,B2
3,B3
3,B4
3,B5
3,B6
3,B7
3,B8
3,B9
3,B10
3,B11
3,B12
3,C1
3,C2
3,C3
3,C4
3,C5
3,C6
3,C7
3,C8
3,C9
3,C10
3,C11
3,C12
3,D1
3,D2
3,D3
3,D4
3,D5
3,D6
3,D7
3,D8
3,D9
3,D10
3,D11
3,D12
3,E1
3,E2
3,E3
3,E4
3,E5
3,E6
3,E7
3,E8
3,E9
3,E10
3,E11
3,E12
3,F1
3,F2
3,F3
3,F4
3,F5
3,F6
3,F7
3,F8
3,F9
3,F10
3,F11
3,F12
3,G1
3,G2
3,G3
3,G4
3,G5
3,G6
3,G7
3,G8
3,G9
3,G10
3,G11
3,G12
3,H1
3,H2
3,H3
3,H4
3,H5
3,H6
3,H7
3,H8
3,H9
3,H10
4,A1
4,A2
4,A3
4,A4
4,A5
4,A6
4,A7
4,A8
4,A9
4,A10
4,A11
4,A12
4,B1
4,B2
4,B3
4,B4
4,B5
4,B6
4,B7
4,B8
4,B9
4,B10
4,B11
4,B12
4,C1
4,C2
4,C3
4,C4
4,C5
4,C6
4,C7
4,C8
4,C9
4,C10
4,C11
4,C12
4,D1
4,D2
4,D3
4,D4
4,D5
4,D6
4,D7
4,D8
4,D9
4,D10
4,D11
4,D12
4,E1
4,E2
4,E3
4,E4
4,E5
4,E6
4,E7
4,E8
4,E9
4,E10
4,E11
4,E12
4,F1
4,F2
4,F3
4,F4
4,F5
4,F6
4,F7
4,F8
4,F9
4,F10
4,F11
4,F12
4,G1
4,G2
4,G3
4,G4
4,G5
4,G6
4,G7
4,G8
4,G9
4,G10
4,G11
4,G12
4,H1
4,H2
4,H3
4,H4
4,H5
4,H6
4,H7
4,H8
4,H9
4,H10